Facility Name,Location Type,Operator,Status,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude,Location
Rockaway Beach 05b,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.58465,-73.810847,POINT (-73.810847 40.58465)
Clearview Golf Course,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.781915,-73.788413,POINT (-73.788413 40.781915)
Marie Curie Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.757089,-73.771511,POINT (-73.771511 40.757089)
Judge Moses Weinstein Playground,Park,NYC Parks,Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.718693,-73.820438,POINT (-73.820438 40.718693)
"Throg's Neck Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/throgs-neck,40.822881,-73.819096,POINT (-73.819096 40.822881)
Pilgrim Hill & Conservatory Water,Park,NYC Parks Concessionaire,Operational,Year Round,7:30am - dusk,Not Accessible,Multi-Stall W/M Restrooms,,,,40.773979,-73.966543,POINT (-73.966543 40.773979)
Crotona Malls Zone 1,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.842839,-73.88546,POINT (-73.88546 40.842839)
"Jackson Heights Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""","Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/jackson-heights,40.750204,-73.885071,POINT (-73.885071 40.750204)
"Bedford Library, BPL",Library,BPL,Closed for Construction,Year Round,,Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/bedford,40.68182,-73.956166,POINT (-73.956166 40.68182)
Owl's Head Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.639297,-74.031998,POINT (-74.031998 40.639297)
Cedar Grove Beach Zone 2,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",,,,,,40.559615,-74.101569,POINT (-74.101569 40.559615)
Little Island,Park,Hudson River Park,Operational,Year Round,6am - 11pm,Fully Accessible,,,,,40.741724,-74.010743,POINT (-74.010743 40.741724)
"Bellerose Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/bellerose,40.735169,-73.717106,POINT (-73.717106 40.735169)
Holcombe Rucker Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.829191,-73.936172,POINT (-73.936172 40.829191)
Parque De Los Ninos Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.827144,-73.873724,POINT (-73.873724 40.827144)
Greenwood Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.650466,-73.97658,POINT (-73.97658 40.650466)
"Hunts Point Library, NYPL",Library,NYPL,Closed for Construction,Future,,,,,,https://www.nypl.org/locations/hunts-point,40.818678,-73.894134,POINT (-73.894134 40.818678)
Robert Moses Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.748089,-73.968696,POINT (-73.968696 40.748089)
Belmont Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.850641,-73.887478,POINT (-73.887478 40.850641)
Dinosaur Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.796672,-73.975168,POINT (-73.975168 40.796672)
Shore Road Park Zone 4,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.611998,-74.035716,POINT (-74.035716 40.611998)
Springfield Park North,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.663821,-73.759545,POINT (-73.759545 40.663821)
Gravesend Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.623984,-73.984921,POINT (-73.984921 40.623984)
"Morris Park Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/morris-park,40.848037,-73.856959,POINT (-73.856959 40.848037)
Locust Point Marina,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.816569,-73.806112,POINT (-73.806112 40.816569)
Bleecker Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.736361,-74.005567,POINT (-74.005567 40.736361)
Raymond OConnor Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.771005,-73.779037,POINT (-73.779037 40.771005)
"Rochdale Village Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/rochdale-village,40.672884,-73.770592,POINT (-73.770592 40.672884)
"High Bridge Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/high-bridge,40.837968,-73.923552,POINT (-73.923552 40.837968)
Abigail Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.817324,-73.904836,POINT (-73.904836 40.817324)
Playground One Fifty Two CLII,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.827946,-73.939952,POINT (-73.939952 40.827946)
Park Of The Americas,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.748954,-73.861779,POINT (-73.861779 40.748954)
Captain Mario Fajardo Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.743495,-73.814815,POINT (-73.814815 40.743495)
"Spuyten Duyvil Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Partially Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/spuyten-duyvil,40.886294,-73.914652,POINT (-73.914652 40.886294)
805 Third Avenue POPS,Privately Owned Public Space,Cohen Brothers Real Estate Development Corporation,Operational,Year Round,Monday to Friday: 8:00 am-7:00 pm,Fully Accessible,Multi-Stall W/M Restrooms,No,,,40.755396,-73.970541,POINT (-73.970541 40.755396)
Triassic Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.73001,-73.835105,POINT (-73.835105 40.73001)
American Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.72874,-73.957634,POINT (-73.957634 40.72874)
Pierrepont Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.696354,-73.997607,POINT (-73.997607 40.696354)
Fort Washington Park Zone 4,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.868463,-73.93125,POINT (-73.93125 40.868463)
"Flatlands Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/flatlands,40.619776,-73.933215,POINT (-73.933215 40.619776)
Captain William Harry Thompson Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.834327,-73.877894,POINT (-73.877894 40.834327)
Russell Sage Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.72396,-73.851646,POINT (-73.851646 40.72396)
Ferry Point Golf Course,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.815276,-73.831236,POINT (-73.831236 40.815276)
City Line Park,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.67953,-73.876243,POINT (-73.876243 40.67953)
Evergreen Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.697049,-73.896392,POINT (-73.896392 40.697049)
Chester Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.669027,-73.911889,POINT (-73.911889 40.669027)
"East Flatbush Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/east-flatbush,40.655719,-73.914942,POINT (-73.914942 40.655719)
210 St. Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.739236,-73.765093,POINT (-73.765093 40.739236)
Josephine Caminiti Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.743795,-73.861554,POINT (-73.861554 40.743795)
Dongan Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.582812,-74.089834,POINT (-74.089834 40.582812)
Dr. Charles R. Drew Park,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.680215,-73.802383,POINT (-73.802383 40.680215)
Gen. Douglas MacArthur Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.58593,-74.100791,POINT (-74.100791 40.58593)
Nautilus Playground,Park,NYC Parks,Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.684648,-73.770251,POINT (-73.770251 40.684648)
"Red Hook Library, BPL",Library,BPL,Closed for Construction,Year Round,,,,,,https://www.bklynlibrary.org/locations/red-hook,40.675249,-74.010344,POINT (-74.010344 40.675249)
Bay Terrace Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.782441,-73.777276,POINT (-73.777276 40.782441)
Scylla Playground,Park,NYC Parks,Operational,Year Round,"Fall, spring summer: 7am - 9pm. Winter: 7am - 5:30pm",Fully Accessible,,,,,40.783722,-73.926221,POINT (-73.926221 40.783722)
61 West 62nd Street POPS,Privately Owned Public Space,Lincoln Center for the Performing Arts,Operational,Year Round,Monday to Friday: 8:00 am-10:00 pm; Saturday & Sunday: 9:00 am-10:00 pm,Fully Accessible,Single-Stall All Gender Restroom(s),Yes,Located within the David Rubenstein Atrium at Lincoln Center.,,40.771123,-73.982838,POINT (-73.982838 40.771123)
"Glendale Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/glendale,40.702594,-73.875746,POINT (-73.875746 40.702594)
Vleigh Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.729857,-73.816234,POINT (-73.816234 40.729857)
Russell Pedersen Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.62642,-74.03634,POINT (-74.03634 40.62642)
Tompkins Square Park,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.726834,-73.981415,POINT (-73.981415 40.726834)
Angelo Campanaro Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.867904,-73.842368,POINT (-73.842368 40.867904)
Austin J. McDonald Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.629525,-74.115108,POINT (-74.115108 40.629525)
"96th Street Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Partially Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/96th-street,40.785968,-73.951807,POINT (-73.951807 40.785968)
Stanley Isaacs Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.782933,-73.944561,POINT (-73.944561 40.782933)
Fairview Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.531652,-74.232599,POINT (-74.232599 40.531652)
"Hamilton Fish Park Library, NYPL",Library,NYPL,Closed for Construction,Future,,,,,,https://www.nypl.org/locations/hamilton-fish-park,40.719788,-73.979425,POINT (-73.979425 40.719788)
"Peninsula Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/peninsula,40.585872,-73.816066,POINT (-73.816066 40.585872)
Bayside Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.584982,-73.824979,POINT (-73.824979 40.584982)
Beach 30th St. Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.592435,-73.76265,POINT (-73.76265 40.592435)
Alley Pond Park Driving Range,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.765302,-73.749189,POINT (-73.749189 40.765302)
Van Cortlandt Stadium,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.888285,-73.898126,POINT (-73.898126 40.888285)
Dry Harbor Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.70232,-73.868145,POINT (-73.868145 40.70232)
"Broad Channel Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/broad-channel,40.60074,-73.820054,POINT (-73.820054 40.60074)
Sgt. William Dougherty Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.723531,-73.936951,POINT (-73.936951 40.723531)
Murray Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.747259,-73.948932,POINT (-73.948932 40.747259)
"Pacific Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Partially Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/pacific,40.683475,-73.978585,POINT (-73.978585 40.683475)
Hudson River Park Pier 25,Park,Hudson River Park,Operational,Year Round,7:30am - 11pm,Fully Accessible,,,,,40.719928,-74.012697,POINT (-74.012697 40.719928)
Playground Of The Stars,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.8356,-73.899721,POINT (-73.899721 40.8356)
Maria Hernandez Park,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.702998,-73.92404,POINT (-73.92404 40.702998)
"Fort Washington Library, NYPL",Library,NYPL,Closed for Construction,Future,,,,,,https://www.nypl.org/locations/fort-washington,40.847878,-73.933867,POINT (-73.933867 40.847878)
Real Good Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.735517,-73.857237,POINT (-73.857237 40.735517)
Bloomingdale Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.535012,-74.208479,POINT (-74.208479 40.535012)
Paerdegat Basin Marina 5,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.627513,-73.905176,POINT (-73.905176 40.627513)
Evelyn's Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Single-Stall All Gender Restroom(s),,,,40.736309,-73.989588,POINT (-73.989588 40.736309)
Springfield Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.660826,-73.762342,POINT (-73.762342 40.660826)
136 St Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.78496,-73.832844,POINT (-73.832844 40.78496)
